criteria,criteria_tidy
"Approach Roads, Streets & Lanes","Approach Roads, Streets & Lanes"
Built Environment and Streetscape,Streetscape & Public Places
Community Involvement & Planning,Community – Your Planning and Involvement
Community – Your Planning and Involvement,Community – Your Planning and Involvement
Green Spaces and Landscaping,Green Spaces and Landscaping
Landscaping and Open Spaces,Green Spaces and Landscaping
Nature and Biodiversity in your Locality,Nature and Biodiversity in your Locality
Residential Streets & Housing Areas,Residential Streets & Housing Areas
Streetscape & Public Places,Streetscape & Public Places
Sustainability – Doing more with less,Sustainability – Doing more with less
Sustainable Waste and Resource Management,Sustainability – Doing more with less
TOTAL MARK,TOTAL MARK
Tidiness and Litter Control,Tidiness and Litter Control
"Wildlife, Habitats and Natural Amenities",Nature and Biodiversity in your Locality
