county_l1,town,town_tidy
Carlow,Ardattin,Ardattin
Carlow,Bagenalstown,Bagenalstown
Carlow,Ballinabranna,Ballinabranna
Carlow,Ballon,Ballon
Carlow,Ballymurphy,Ballymurphy
Carlow,Borris,Borris
Carlow,Carlow,Carlow
Carlow,Clonegal,Clonegal
Carlow,Clonmore,Clonmore
Carlow,Drummond,Drummond
Carlow,Fenagh,Fenagh
Carlow,Hacketstown,Hacketstown
Carlow,Harrow Cross,Harrow Cross
Carlow,Kildavin,Kildavin
Carlow,Leighlinbridge,Leighlinbridge
Carlow,Myshall,Myshall
Carlow,Nurney,Nurney
Carlow,Old Leighlin,Old Leighlin
Carlow,Palatine,Palatine
Carlow,Rathanna,Rathanna
Carlow,Rathvilly,Rathvilly
Carlow,Royal Oak,Royal Oak
Carlow,St Mullins,St Mullins
Carlow,Tinryland,Tinryland
Carlow,Tullow,Tullow
Carlow,Tynock,Tynock
Cavan,Arvagh,Arvagh
Cavan,Bailieboro,Bailieborough
Cavan,Bailieborough,Bailieborough
Cavan,Ballinagh,Ballinagh
Cavan,Ballyconnell,Ballyconnell
Cavan,Ballyjamesduff,Ballyjamesduff
Cavan,Bawnboy,Bawnboy
Cavan,Belturbet,Belturbet
Cavan,Blacklion,Blacklion
Cavan,Butlersbridge,Butlers Bridge
Cavan,Butlersbridge Droichead,Butlers Bridge
Cavan,Cavan,Cavan
Cavan,Cootehill,Cootehill
Cavan,Crosskeys,Crosskeys
Cavan,Dowra,Dowra
Cavan,Gowna,Gowna
Cavan,Kilcogy,Kilcogy
Cavan,Killeshandra,Killeshandra
Cavan,Killydoon,Killydoon
Cavan,Kilnaleck,Kilnaleck
Cavan,Kingscourt,Kingscourt
Cavan,Lavey,Lavey
Cavan,Loch Gowna,Lough Gowna
Cavan,Lough Gowna,Lough Gowna
Cavan,Maghera,Maghera
Cavan,Mount Nugent,Mount Nugent
Cavan,Mountnugent,Mount Nugent
Cavan,Mullagh,Mullagh
Cavan,Redhills,Redhills
Cavan,Shercock,Shercock
Cavan,Stradone,Stradone
Cavan,Stradone Village,Stradone
Cavan,Swanlinbar,Swanlinbar
Cavan,Tullyvin,Tullyvin
Cavan,Virginia,Virginia
Clare,Ballynacally,Ballynacally
Clare,Ballyvaughan,Ballyvaughan
Clare,Barefield,Barefield
Clare,Bodyke,Bodyke
Clare,Boston,Boston
Clare,Bridgetown,Bridgetown
Clare,Broadford,Broadford
Clare,Bunratty,Bunratty
Clare,Caher,Caher
Clare,Carrigaholt,Carrigaholt
Clare,Clarecastle,Clarecastle
Clare,Clonlara,Clonlara
Clare,Connolly,Connolly
Clare,Coolmeen,Coolmeen
Clare,Cooraclare,Cooraclare
Clare,Corofin,Corofin
Clare,Cranny,Cranny
Clare,Cree,Cree
Clare,Cross,Cross
Clare,Doolin,Doolin
Clare,Doonbeg,Doonbeg
Clare,Doonbeg Village,Doonbeg
Clare,Ennis,Ennis
Clare,Ennistymon,Ennistymon
Clare,Feakle,Feakle
Clare,Flagmount,Flagmount
Clare,Inch-Clare,Inch-Clare
Clare,Kildysart,Kildysart
Clare,Kildysart Village,Kildysart
Clare,Kilfenora,Kilfenora
Clare,Kilkee,Kilkee
Clare,Kilkishen,Kilkishen
Clare,Killaloe,Killaloe
Clare,Killimer,Killimer
Clare,Kilmaley,Kilmaley
Clare,Kilmihil,Kilmihil
Clare,Kilmurry,Kilmurry McMahon
Clare,Kilmurry Mcmahon,Kilmurry McMahon
Clare,Kilrush,Kilrush
Clare,Knock,Knock
Clare,Labasheeda,Labasheeda
Clare,Lahinch,Lahinch
Clare,Lahinch An Leacht,Lahinch
Clare,Liscannor,Liscannor
Clare,Lisdoonvarna,Lisdoonvarna
Clare,Lissycasey,Lissycasey
Clare,Meelick,Meelick
Clare,Miltown Malbay,Miltown Malbay
Clare,Mountshannon,Mountshannon
Clare,Mullagh,Mullagh
Clare,Newmarket-On-Fergus,Newmarket-On-Fergus
Clare,O'Brien'S Bridge,O'Briensbridge
