criteria,2006.0,2008.0,2010.0,2011.0,2012.0,2013.0
General Impression,10,10,10,10,10,10
Landscaping,50,50,50,50,50,50
Litter Control,50,50,50,50,50,50
Overall Development Approach,50,50,50,50,50,50
Residential Areas,40,40,40,40,40,40
"Roads, Streets and Back Areas",50,50,50,50,50,50
Sustainable Waste And Resource Management,0,0,0,0,20,20
TOTAL MARK,400,400,400,400,400,400
The Built Environment,50,50,50,50,50,50
Tidiness,30,30,30,30,30,30
Waste Minimisation,20,20,20,20,20,0
Wildlife and Natural Amenities,50,50,50,50,50,50
