county_l1,town
Carlow,Ardattin
Carlow,Bagenalstown
Carlow,Ballinabranna
Carlow,Ballon
Carlow,Ballymurphy
Carlow,Borris
Carlow,Carlow
Carlow,Clonegal
Carlow,Clonmore
Carlow,Drummond
Carlow,Fenagh
Carlow,Hacketstown
Carlow,Harrow Cross
Carlow,Kildavin
Carlow,Leighlinbridge
Carlow,Myshall
Carlow,Nurney
Carlow,Old Leighlin
Carlow,Palatine
Carlow,Rathanna
Carlow,Rathvilly
Carlow,Royal Oak
Carlow,St Mullins
Carlow,Tinryland
Carlow,Tullow
Carlow,Tynock
Cavan,Arvagh
Cavan,Bailieboro
Cavan,Bailieborough
Cavan,Ballinagh
Cavan,Ballyconnell
Cavan,Ballyjamesduff
Cavan,Bawnboy
Cavan,Belturbet
Cavan,Blacklion
Cavan,Butlersbridge
Cavan,Butlersbridge Droichead
Cavan,Cavan
Cavan,Cootehill
Cavan,Crosskeys
Cavan,Dowra
Cavan,Gowna
Cavan,Kilcogy
Cavan,Killeshandra
Cavan,Killydoon
Cavan,Kilnaleck
Cavan,Kingscourt
Cavan,Lavey
Cavan,Loch Gowna
Cavan,Lough Gowna
Cavan,Maghera
Cavan,Mount Nugent
Cavan,Mountnugent
Cavan,Mullagh
Cavan,Redhills
Cavan,Shercock
Cavan,Stradone
Cavan,Stradone Village
Cavan,Swanlinbar
Cavan,Tullyvin
Cavan,Virginia
Clare,Ballynacally
Clare,Ballyvaughan
Clare,Barefield
Clare,Bodyke
Clare,Boston
Clare,Bridgetown
Clare,Broadford
Clare,Bunratty
Clare,Caher
Clare,Carrigaholt
Clare,Clarecastle
Clare,Clonlara
Clare,Connolly
Clare,Coolmeen
Clare,Cooraclare
Clare,Corofin
Clare,Cranny
Clare,Cree
Clare,Cross
Clare,Doolin
Clare,Doonbeg
Clare,Doonbeg Village
Clare,Ennis
Clare,Ennistymon
Clare,Feakle
Clare,Flagmount
Clare,Inch-Clare
Clare,Kildysart
Clare,Kildysart Village
Clare,Kilfenora
Clare,Kilkee
Clare,Kilkishen
Clare,Killaloe
Clare,Killimer
Clare,Kilmaley
Clare,Kilmihil
Clare,Kilmurry
Clare,Kilmurry Mcmahon
Clare,Kilrush
Clare,Knock
Clare,Labasheeda
Clare,Lahinch
