pdf_name,pdf_path,pdf_found,pdf_success,year,county
1996 COUNTY CARLOW ARDATTIN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
2011_Mayo_Aughagower_503.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/12,1.0,1.0,1996,carlow
1996 COUNTY CARLOW BAGENALSTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
2010_Kerry_Baile-an-Fhirteirigh_1487.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/12,1.0,1.0,1996,carlow
2012-County-Leitrim-Ballinamore-422.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/11,1.0,1.0,1996,carlow
1996 COUNTY CARLOW BALLON.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
2010_Kerry_Ballybunion_323.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/12,1.0,1.0,1996,carlow
1996 COUNTY CARLOW BORRIS.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW CARLOW.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW CLONEGAL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW CLONMORE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW HACKETSTOWN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
2015-County-Cork_North-Knockraha-791.pdf,http://www.tidytowns.ie/wp-content/uploads/2017/10,1.0,1.0,1996,carlow
1996 COUNTY CARLOW LEIGHLINBRIDGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW MYSHALL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW RATHVILLY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW TINRYLAND.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW TULLOW.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CARLOW TYNOCK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,carlow
1996 COUNTY CAVAN ARVAGH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BAILIEBORO.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BALLINAGH.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BALLYCONNELL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BALLYJAMESDUFF.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BAWNBOY.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BELTURBET.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BLACKLION.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN BUTLERSBRIDGE.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN CAVAN.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN COOTEHILL.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN DOWRA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN KILNALECK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN KINGSCOURT.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN LOCH GOWNA.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN MOUNTNUGENT.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
1996 COUNTY CAVAN SHERCOCK.pdf,http://www.tidytowns.ie/u_reports/1996,1.0,1.0,1996,cavan
