category,county,criteria,date,mark,max_mark,town,year
B,Limerick,General Impression,27/06/2005,7,10,Broadford,2005
B,Limerick,Landscaping,27/06/2005,34,40,Broadford,2005
B,Limerick,Litter Control,27/06/2005,31,40,Broadford,2005
B,Limerick,Residential Areas,27/06/2005,26,30,Broadford,2005
B,Limerick,"Roads, Streets and Back Areas",27/06/2005,26,40,Broadford,2005
B,Limerick,The Built Environment,27/06/2005,35,40,Broadford,2005
B,Limerick,Tidiness,27/06/2005,16,20,Broadford,2005
B,Limerick,Wildlife and Natural Amenities,27/06/2005,24,30,Broadford,2005
B,Limerick,Overall Developmental Approach,27/06/2005,33,50,Broadford,2005
B,Limerick,TOTAL MARK,27/06/2005,232,300,Broadford,2005
