name,r2_train,r2_test,rmse_train,rmse_test,best_params_
linreg,0.9783508203621245,0.98593151006725,3.479480605777472,2.8649677977702757,{}
lasso,0.9875151247140141,0.986061587605611,2.673387594624088,2.8516922653648433,{'alpha': 0.3020408163265306}
ridge,0.9874762009425767,0.9859761504088901,2.677886897698797,2.8604188107527877,{'alpha': 277.55102040816325}
elasticnet,0.9874257594281275,0.986109463250212,2.6828847356026766,2.8467905578146624,{'l1_ratio': 0.24896551724137933}
knn,0.9717649103401811,0.9735195723562657,4.00384334667532,3.930596834055506,"{'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance'}"
svr,0.984640432665239,0.9821874663960171,2.9513255628852426,3.2237314128113272,"{'C': 100.0, 'epsilon': 0.78}"
treereg,0.9810388913656489,0.9765471389494543,3.288021673288982,3.6990816537150795,"{'criterion': 'friedman_mse', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}"
randforest,0.9827518175982787,0.9770903663565459,3.135040037094907,3.655990637824396,"{'criterion': 'mse', 'n_estimators': 100}"
bagging,0.9833844037081464,0.9780110324646318,3.0818961941318106,3.581775997776188,"{'max_samples': 0.6, 'n_estimators': 50}"
adaboost,0.9785008837764625,0.9765106133772027,3.49219112447348,3.7019610147708466,{'n_estimators': 50}
gradboost,0.984127704877093,0.9803472535352787,3.010941975559653,3.3861611956238233,"{'loss': 'ls', 'max_depth': 3, 'n_estimators': 50}"
gradboost_dft,0.9838133645429057,0.9798767927596047,3.0404473173324296,3.426451608645356,{}
