category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,date_dn_Mo,date_dn_Sa,date_dn_Su,date_dn_Th,date_dn_Tu,date_dn_We,date_month_Jul,date_month_Jun,date_month_May,date_month_Nov,category_B,category_C,category_D,category_E,category_F,category_G,category_H,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_knn,pred_svr,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Monaghan,Glaslough,0.76,0.8166666666666667,0.96,0.64,0.74,0.92,0.42,0.7444444444444445,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,346.0,343.98,343.77,343.92,317.47,346.0,345.77,344.0,343.08,341.9,331.81,345.29,345.29
Small Town,Louth,Blackrock,0.66,0.9166666666666666,0.94,0.82,0.66,0.78,0.42,0.7222222222222222,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,345.0,339.64,339.45,339.59,325.83,345.0,339.48,329.0,338.01,338.55,331.45,341.56,341.56
Large Town,Mayo,Westport,0.84,0.85,0.92,0.74,0.64,0.92,0.44,0.6666666666666666,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,345.0,342.3,342.02,342.26,320.13,345.0,344.77,344.0,342.66,342.58,331.64,344.03,344.03
Large Urban Centre,Clare,Ennis,0.78,0.8166666666666667,0.96,0.74,0.74,0.9,0.44,0.6555555555555556,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,345.0,342.39,341.17,342.34,322.52,345.0,344.77,344.0,343.11,342.14,331.56,343.93,343.93
Small Town,Cork,Clonakilty,0.8,0.85,0.92,0.72,0.72,0.96,0.4,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,344.0,343.33,343.33,343.3,319.62,344.0,344.23,344.0,341.45,340.92,331.56,342.87,342.87
Village,Offaly,Geashill,0.78,0.8666666666666667,0.9,0.84,0.72,0.88,0.46,0.5666666666666667,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,344.0,338.76,338.76,338.77,323.56,344.0,336.63,341.0,340.52,339.82,331.46,341.7,341.7
Large Urban Centre,Cork,Ballincollig,0.76,0.85,0.96,0.66,0.78,0.92,0.42,0.6888888888888889,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,344.0,343.18,342.98,343.13,319.36,344.0,343.11,344.0,342.32,341.74,331.64,342.62,342.62
Small Town,Kerry,Listowel,0.8,0.8666666666666667,0.88,0.82,0.7,0.9,0.46,0.6555555555555556,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,344.0,344.59,344.41,344.55,321.03,344.0,343.77,344.0,342.35,342.18,331.56,344.52,344.52
Village,Tipperary,Terryglass,0.82,0.8,0.92,0.72,0.7,0.88,0.38,0.7444444444444445,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,344.0,341.94,341.85,341.89,317.27,320.41,339.08,334.0,334.37,333.68,331.2,339.56,339.56
Small Town,Tipperary,Kilsheelan,0.8,0.8833333333333333,0.94,0.62,0.68,0.86,0.34,0.7444444444444445,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,342.0,338.74,338.51,338.68,315.47,342.0,339.86,327.0,336.72,337.52,329.06,338.83,338.83
Small Town,Laois,Abbeyleix,0.78,0.85,0.96,0.8,0.68,0.94,0.5,0.5555555555555556,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,342.0,340.58,340.61,340.6,327.1,311.75,340.66,341.0,338.52,338.18,331.56,337.26,337.26
Village,Carlow,Clonegal,0.72,0.8333333333333334,0.96,0.74,0.66,0.84,0.44,0.7333333333333333,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,342.0,339.91,339.77,339.87,322.1,340.37,341.4,341.0,334.63,335.46,331.46,338.54,338.54
Large Urban Centre,Kilkenny,Kilkenny,0.82,0.9333333333333333,0.96,0.76,0.64,0.94,0.42,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,342.0,344.34,343.32,344.33,327.02,342.0,341.77,344.0,340.0,340.31,331.46,340.54,340.54
Village,Waterford,Stradbally,0.82,0.8333333333333334,0.9,0.78,0.64,0.9,0.36,0.6666666666666666,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,342.0,336.3,336.43,336.29,319.83,342.0,337.07,341.0,339.39,339.53,329.56,337.03,337.03
Village,Longford,Abbeyshrule,0.86,0.8666666666666667,0.9,0.76,0.62,0.84,0.38,0.7444444444444445,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,342.0,343.2,343.17,343.16,318.75,342.0,343.24,341.0,340.69,340.49,329.62,341.58,341.58
Village,Roscommon,Keadue,0.82,0.8333333333333334,0.94,0.76,0.62,0.9,0.42,0.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,342.0,342.13,342.22,342.12,322.25,331.95,339.7,341.0,340.38,340.47,332.42,340.1,340.1
Large Town,Kerry,Killarney,0.78,0.8166666666666667,0.94,0.8,0.66,0.84,0.46,0.6777777777777778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,342.0,340.21,339.9,340.18,323.13,342.0,337.77,338.0,340.54,340.52,332.42,339.78,339.78
Village,Tipperary,Emly,0.82,0.8666666666666667,0.88,0.76,0.66,0.84,0.34,0.7444444444444445,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,341.0,342.18,341.85,342.14,317.0,341.0,341.23,341.0,339.22,339.7,329.86,341.02,341.02
Village,Roscommon,Castlecoote,0.82,0.8166666666666667,0.88,0.76,0.62,0.82,0.52,0.7444444444444445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,341.0,342.31,342.38,342.26,315.49,341.0,342.38,341.0,339.55,338.76,331.45,340.88,340.88
Small Town,Waterford,Lismore,0.8,0.8166666666666667,0.94,0.76,0.66,0.9,0.42,0.6888888888888889,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,341.0,340.73,340.6,340.71,321.84,341.0,339.16,344.0,340.61,340.48,332.8,339.11,339.11
Village,Cork,Rosscarbery,0.82,0.8,0.92,0.78,0.62,0.88,0.44,0.6777777777777778,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,340.0,339.19,339.09,339.17,320.47,340.0,336.64,334.0,337.63,337.77,331.56,339.18,339.18
Large Town,Meath,Trim,0.72,0.8166666666666667,0.94,0.84,0.66,0.94,0.44,0.6444444444444445,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,340.0,341.29,341.07,341.28,326.66,340.0,339.77,338.0,337.81,337.28,329.62,340.23,340.23
Village,Waterford,Ballymacarbry,0.82,0.6833333333333333,0.88,0.84,0.72,0.84,0.42,0.7111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,340.0,335.39,335.48,335.36,316.74,340.0,340.23,327.0,334.77,334.51,327.31,340.31,340.31
Village,Kilkenny,Inistioge,0.78,0.8166666666666667,0.98,0.82,0.62,0.88,0.44,0.6333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,340.0,340.71,340.71,340.73,328.25,340.0,339.77,341.0,339.31,339.4,331.56,338.91,338.91
Village,Cork,Coolagown,0.82,0.7333333333333333,0.96,0.86,0.72,0.74,0.4,0.7222222222222222,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,339.0,338.36,338.3,338.34,324.63,339.0,339.82,331.0,334.98,335.56,328.15,336.82,336.82
Village,Galway,Milltown,0.72,0.7833333333333333,0.94,0.84,0.6,0.82,0.4,0.7111111111111111,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,339.0,333.27,333.21,333.26,324.16,330.18,332.04,326.0,331.06,331.87,327.83,335.6,335.6
Village,Tipperary,Birdhill,0.82,0.8333333333333334,0.96,0.8,0.62,0.84,0.46,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,339.0,340.65,340.73,340.65,325.29,339.0,338.81,341.0,339.53,339.62,331.64,339.72,339.72
Village,Waterford,Ardmore,0.84,0.8166666666666667,0.86,0.78,0.66,0.86,0.42,0.6555555555555556,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,339.0,334.55,334.62,334.52,315.37,339.0,336.9,335.0,337.28,337.82,329.56,336.24,336.24
Small Town,Carlow,Leighlinbridge,0.82,0.8166666666666667,0.88,0.74,0.66,0.86,0.4,0.7111111111111111,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,338.0,338.03,337.8,337.98,314.98,324.55,338.29,341.0,337.5,337.86,331.46,339.74,339.74
Large Town,Dublin,Skerries,0.72,0.8333333333333334,0.88,0.84,0.68,0.84,0.44,0.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,338.0,338.28,338.02,338.24,320.44,338.0,338.23,338.0,336.22,335.98,329.86,339.64,339.64
Large Town,Cork,Cobh,0.8,0.8166666666666667,0.9,0.84,0.68,0.9,0.4,0.6111111111111112,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,338.0,335.75,335.62,335.75,322.61,338.0,337.4,338.0,337.68,337.68,331.2,337.5,337.5
Village,Meath,Moynalty,0.8,0.8333333333333334,0.9,0.8,0.6,0.86,0.4,0.7222222222222222,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,337.0,339.04,339.1,339.02,320.33,337.0,336.95,341.0,337.49,337.88,331.56,338.11,338.11
Small Town,Sligo,Coolaney/Rockfield-Cúil,0.78,0.8166666666666667,0.9,0.72,0.66,0.82,0.46,0.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,337.0,334.42,334.38,334.37,315.1,337.0,336.77,329.0,336.55,335.68,331.31,337.3,337.3
Large Urban Centre,Kildare,Maynooth,0.76,0.9,0.94,0.78,0.68,0.86,0.42,0.6222222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,337.0,340.25,339.98,340.25,324.4,337.0,337.23,341.0,336.39,336.96,331.56,335.98,335.98
Large Urban Centre,Donegal,Letterkenny,0.76,0.8,1.0,0.82,0.76,0.86,0.38,0.5888888888888889,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,337.0,335.27,335.24,335.29,329.3,319.42,332.47,332.0,328.78,328.68,329.5,331.1,331.1
Large Town,Offaly,Tullamore,0.84,0.85,0.9,0.64,0.84,0.92,0.4,0.5444444444444444,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,336.0,333.39,333.15,333.38,313.06,336.0,333.72,344.0,334.13,334.67,329.5,334.3,334.3
