name,r2_train,r2_test,rmse_train,rmse_test,best_params_
linreg,0.9881807780815544,0.9886379781774504,3.276508373323135,3.0568787384033493,{}
lasso,0.9881652707000945,0.9884863414775518,3.279023525271665,3.0772095681674143,{'alpha': 0.01}
ridge,0.9881808608326826,0.9886297409100225,3.2765694698626784,3.057986629493728,{'alpha': 0.01}
elasticnet,0.7806166340611355,0.7801108782330377,14.187397189217489,13.447831974011272,{'l1_ratio': 1.0}
treereg,0.8731949800695441,0.8656722922407656,10.763046110539904,10.510737831194229,"{'criterion': 'mae', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 2}"
randforest,0.9562290690959049,0.964964471211566,6.343581850844526,5.367903997516933,"{'criterion': 'mae', 'n_estimators': 300}"
bagging,0.9556528154771711,0.9656356680996875,6.3956332275176315,5.316237250734539,"{'max_samples': 1.0, 'n_estimators': 200}"
adaboost,0.9309933300733609,0.9352159603524068,7.9637000542372745,7.299353798671624,{'n_estimators': 100}
gradboost,0.9678266819019429,0.9728268806960684,5.405879928665945,4.7273760380434355,"{'loss': 'ls', 'max_depth': 3, 'n_estimators': 100}"
gradboost_dft,0.9678625040427647,0.9727644276722817,5.403137423820207,4.7328054751237945,{}
