category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Monaghan,Glaslough,0.76,0.8166666666666667,0.96,0.64,0.74,0.92,0.42,0.7444444444444445,0,0,1,0.7361702127659574,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.73,0.73
Small Town,Louth,Blackrock,0.66,0.9166666666666666,0.94,0.82,0.66,0.78,0.42,0.7222222222222222,0,1,0,0.7340425531914894,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.71,0.73,0.73
Large Town,Mayo,Westport,0.84,0.85,0.92,0.74,0.64,0.92,0.44,0.6666666666666666,0,0,0,0.7340425531914894,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.73,0.73
Large Urban Centre,Clare,Ennis,0.78,0.8166666666666667,0.96,0.74,0.74,0.9,0.44,0.6555555555555556,1,0,0,0.7340425531914894,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.73,0.73
Small Town,Cork,Clonakilty,0.8,0.85,0.92,0.72,0.72,0.96,0.4,0.6666666666666666,0,1,0,0.7319148936170212,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.73,0.73
Village,Offaly,Geashill,0.78,0.8666666666666667,0.9,0.84,0.72,0.88,0.46,0.5666666666666667,0,0,1,0.7319148936170212,0.72,0.72,0.72,0.63,0.72,0.71,0.71,0.7,0.72,0.72
Small Town,Kerry,Listowel,0.8,0.8666666666666667,0.88,0.82,0.7,0.9,0.46,0.6555555555555556,0,1,0,0.7319148936170212,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.73,0.73
Village,Tipperary,Terryglass,0.82,0.8,0.92,0.72,0.7,0.88,0.38,0.7444444444444445,0,0,1,0.7319148936170212,0.73,0.72,0.73,0.63,0.71,0.71,0.71,0.7,0.72,0.72
Large Urban Centre,Cork,Ballincollig,0.76,0.85,0.96,0.66,0.78,0.92,0.42,0.6888888888888889,1,0,0,0.7319148936170212,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.73,0.73
Large Urban Centre,Kilkenny,Kilkenny,0.82,0.9333333333333333,0.96,0.76,0.64,0.94,0.42,0.6,1,0,0,0.7276595744680852,0.73,0.73,0.73,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Large Town,Kerry,Killarney,0.78,0.8166666666666667,0.94,0.8,0.66,0.84,0.46,0.6777777777777778,0,0,0,0.7276595744680852,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.71,0.73,0.73
Village,Roscommon,Keadue,0.82,0.8333333333333334,0.94,0.76,0.62,0.9,0.42,0.7,0,0,1,0.7276595744680852,0.73,0.73,0.73,0.63,0.73,0.73,0.73,0.7,0.72,0.72
Village,Waterford,Stradbally,0.82,0.8333333333333334,0.9,0.78,0.64,0.9,0.36,0.6666666666666666,0,0,1,0.7276595744680852,0.72,0.71,0.72,0.63,0.73,0.72,0.72,0.7,0.72,0.72
Village,Carlow,Clonegal,0.72,0.8333333333333334,0.96,0.74,0.66,0.84,0.44,0.7333333333333333,0,0,1,0.7276595744680852,0.72,0.72,0.72,0.63,0.71,0.72,0.72,0.7,0.72,0.72
Small Town,Tipperary,Kilsheelan,0.8,0.8833333333333333,0.94,0.62,0.68,0.86,0.34,0.7444444444444445,0,1,0,0.7276595744680852,0.72,0.72,0.72,0.63,0.73,0.72,0.72,0.7,0.72,0.72
Village,Longford,Abbeyshrule,0.86,0.8666666666666667,0.9,0.76,0.62,0.84,0.38,0.7444444444444445,0,0,1,0.7276595744680852,0.73,0.73,0.73,0.63,0.73,0.72,0.72,0.7,0.73,0.73
Small Town,Laois,Abbeyleix,0.78,0.85,0.96,0.8,0.68,0.94,0.5,0.5555555555555556,0,1,0,0.7276595744680852,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Small Town,Waterford,Lismore,0.8,0.8166666666666667,0.94,0.76,0.66,0.9,0.42,0.6888888888888889,0,1,0,0.725531914893617,0.73,0.72,0.73,0.63,0.73,0.73,0.73,0.7,0.72,0.72
Village,Roscommon,Castlecoote,0.82,0.8166666666666667,0.88,0.76,0.62,0.82,0.52,0.7444444444444445,0,0,1,0.725531914893617,0.73,0.73,0.73,0.63,0.73,0.72,0.72,0.7,0.72,0.72
Village,Tipperary,Emly,0.82,0.8666666666666667,0.88,0.76,0.66,0.84,0.34,0.7444444444444445,0,0,1,0.725531914893617,0.72,0.72,0.72,0.63,0.73,0.72,0.72,0.7,0.73,0.73
Village,Kilkenny,Inistioge,0.78,0.8166666666666667,0.98,0.82,0.62,0.88,0.44,0.6333333333333333,0,0,1,0.723404255319149,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Village,Waterford,Ballymacarbry,0.82,0.6833333333333333,0.88,0.84,0.72,0.84,0.42,0.7111111111111111,0,0,1,0.723404255319149,0.72,0.71,0.72,0.62,0.71,0.71,0.71,0.7,0.72,0.72
Village,Cork,Rosscarbery,0.82,0.8,0.92,0.78,0.62,0.88,0.44,0.6777777777777778,0,0,1,0.723404255319149,0.72,0.72,0.72,0.63,0.71,0.72,0.72,0.7,0.72,0.72
Large Town,Meath,Trim,0.72,0.8166666666666667,0.94,0.84,0.66,0.94,0.44,0.6444444444444445,0,0,0,0.723404255319149,0.73,0.72,0.73,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Village,Cork,Coolagown,0.82,0.7333333333333333,0.96,0.86,0.72,0.74,0.4,0.7222222222222222,0,0,1,0.7212765957446808,0.72,0.72,0.72,0.63,0.71,0.7,0.7,0.69,0.71,0.71
Village,Waterford,Ardmore,0.84,0.8166666666666667,0.86,0.78,0.66,0.86,0.42,0.6555555555555556,0,0,1,0.7212765957446808,0.71,0.71,0.71,0.62,0.72,0.71,0.71,0.7,0.72,0.72
Village,Galway,Milltown,0.72,0.7833333333333333,0.94,0.84,0.6,0.82,0.4,0.7111111111111111,0,0,1,0.7212765957446808,0.71,0.71,0.71,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Village,Tipperary,Birdhill,0.82,0.8333333333333334,0.96,0.8,0.62,0.84,0.46,0.6666666666666666,0,0,1,0.7212765957446808,0.73,0.72,0.73,0.63,0.72,0.72,0.72,0.7,0.73,0.73
Small Town,Carlow,Leighlinbridge,0.82,0.8166666666666667,0.88,0.74,0.66,0.86,0.4,0.7111111111111111,0,1,0,0.7191489361702128,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Large Town,Dublin,Skerries,0.72,0.8333333333333334,0.88,0.84,0.68,0.84,0.44,0.7,0,0,0,0.7191489361702128,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Large Town,Cork,Cobh,0.8,0.8166666666666667,0.9,0.84,0.68,0.9,0.4,0.6111111111111112,0,0,0,0.7191489361702128,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Large Urban Centre,Kildare,Maynooth,0.76,0.9,0.94,0.78,0.68,0.86,0.42,0.6222222222222222,1,0,0,0.7170212765957447,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Large Urban Centre,Donegal,Letterkenny,0.76,0.8,1.0,0.82,0.76,0.86,0.38,0.5888888888888889,1,0,0,0.7170212765957447,0.72,0.72,0.72,0.63,0.71,0.71,0.71,0.7,0.71,0.71
Small Town,Sligo,Coolaney/Rockfield-Cúil,0.78,0.8166666666666667,0.9,0.72,0.66,0.82,0.46,0.7,0,1,0,0.7170212765957447,0.71,0.71,0.71,0.63,0.72,0.71,0.71,0.7,0.71,0.71
Village,Meath,Moynalty,0.8,0.8333333333333334,0.9,0.8,0.6,0.86,0.4,0.7222222222222222,0,0,1,0.7170212765957447,0.72,0.72,0.72,0.63,0.72,0.72,0.72,0.7,0.72,0.72
Village,Kilkenny,Tullahought,0.78,0.8,0.94,0.76,0.54,0.88,0.4,0.7333333333333333,0,0,1,0.7148936170212766,0.71,0.71,0.71,0.63,0.71,0.72,0.71,0.7,0.72,0.72
Village,Galway,Abbey,0.8,0.75,0.9,0.8,0.6,0.78,0.46,0.7111111111111111,0,0,1,0.7148936170212766,0.71,0.7,0.71,0.62,0.71,0.71,0.7,0.7,0.71,0.71
Small Town,Clare,Kilrush,0.68,0.8833333333333333,0.96,0.7,0.68,0.98,0.44,0.6111111111111112,0,1,0,0.7148936170212766,0.72,0.72,0.72,0.63,0.71,0.71,0.71,0.7,0.71,0.71
